	PD_whole_tree	chao1	observed_otus
10317.000030760	33.60692	815.921875	486.0
10317.000030732	33.34661	787.446808511	437.0
10317.000023384	31.37389	646.1875	427.0
10317.000026137	23.0252	381.566037736	306.0
10317.000030734	24.32985	590.8	329.0
10317.000017085	24.65115	498.022222222	334.0
10317.000026131	30.69724	607.0	440.0
10317.000036391	33.31841	604.666666667	418.0
10317.000036087	26.21719	510.211267606	357.0
10317.000017072	29.50604	586.714285714	405.0
10317.000030735	35.73656	691.333333333	466.0
10317.000017083	27.45712	537.467741935	376.0
10317.000036383	31.20612	683.014705882	430.0
10317.000030765	34.07869	686.232876712	468.0
10317.000017394	34.07489	665.081967213	424.0
10317.000017091	30.14927	661.25	419.0
10317.000030733	30.92734	674.086956522	438.0
10317.000036427	38.20269	715.4375	491.0
10317.000017106	39.48462	779.8	525.0
10317.000036069	20.95343	421.622222222	281.0
10317.000030759	27.31981	467.355932203	336.0
10317.000017113	33.88597	619.114285714	453.0
10317.000026129	25.95921	456.12244898	320.0
10317.000030772	27.82246	523.948275862	368.0
10317.000017092	24.71377	396.12244898	305.0
10317.000017120	21.7804	497.538461538	302.0
10317.000036414	31.60478	540.0	401.0
10317.000036912	28.10659	622.68	422.0
10317.000017362	29.83308	732.446808511	382.0
10317.000026095	25.15722	599.277777778	329.0
10317.000026134	18.70488	411.454545455	246.0
10317.000026100	37.56924	655.571428571	471.0
10317.000017095	34.1414	707.140625	461.0
10317.000017358	27.98975	722.0	336.0
10317.000036402	31.53985	676.850746269	447.0
10317.000017077	24.5681	444.32	320.0
10317.000026116	27.72604	645.458333333	367.0
10317.000030753	23.18318	509.552631579	299.0
10317.000017107	32.1966	573.013333333	420.0
10317.000030748	29.3848	620.448275862	412.0
10317.000030754	34.39715	612.35	416.0
10317.000036093	29.49004	654.904761905	416.0
10317.000036077	22.38086	386.236842105	248.0
10317.000030775	26.28219	434.549019608	317.0
10317.000026099	28.61222	639.25	428.0
10317.000036422	34.3214	722.361445783	485.0
10317.000036939	29.16279	535.444444444	381.0
10317.000023390	30.82467	560.144927536	413.0
10317.000030749	26.71232	427.926829268	287.0
10317.000017115	31.58191	493.2	359.0
10317.000036392	29.14586	572.333333333	371.0
10317.000036413	26.12364	432.583333333	278.0
10317.000026112	29.48929	621.4375	376.0
10317.000036098	29.22318	593.019607843	368.0
10317.000036420	23.06952	425.75	287.0
10317.000030763	20.70748	459.319148936	264.0
10317.000030756	26.18885	483.818181818	329.0
10317.000036398	30.46723	616.557692308	390.0
10317.000036943	28.07953	588.327868852	410.0
10317.000036394	27.87994	525.014492754	390.0
10317.000036112	21.01214	480.777777778	238.0
10317.000036099	31.57738	683.1625	475.0
10317.000026136	32.10476	521.8875	402.0
10317.000036927	26.77254	493.016129032	366.0
10317.000036107	30.5844	671.0	407.0
10317.000030736	28.47955	629.015151515	419.0
10317.000036428	27.49889	507.033898305	356.0
10317.000023389	19.05445	433.590909091	282.0
10317.000030750	19.94617	386.162790698	264.0
10317.000026119	39.93448	857.891566265	565.0
10317.000036080	30.34852	633.369863014	420.0
10317.000017081	17.53421	353.5	204.0
10317.000017119	18.57857	392.684210526	249.0
10317.000036075	27.98776	595.418181818	384.0
10317.000026133	26.90473	511.267857143	340.0
10317.000026120	28.74768	607.158730159	395.0
10317.000030744	24.53728	496.75	333.0
10317.000017079	23.876	411.518518519	288.0
10317.000036097	22.48395	524.571428571	285.0
10317.000036947	24.55614	519.717391304	326.0
10317.000036926	30.07355	622.693548387	391.0
10317.000030743	28.02063	671.807692308	389.0
10317.000026127	28.29932	616.880597015	405.0
10317.000017111	21.0087	344.018181818	276.0
10317.000017088	27.28321	567.47826087	390.0
10317.000026122	20.96353	419.057692308	293.0
10317.000036082	25.91004	547.85	369.0
10317.000017114	20.38202	480.322580645	250.0
10317.000036078	26.20478	561.0	329.0
10317.000026114	24.25912	598.734693878	352.0
10317.000030739	21.53409	457.803571429	326.0
10317.000030746	29.61913	662.739130435	437.0
10317.000036423	22.74472	556.333333333	308.0
10317.000026141	30.261	582.388888889	397.0
10317.000036081	27.35534	503.553191489	336.0
10317.000036083	30.59755	608.692307692	388.0
10317.000036941	32.52948	563.084507042	428.0
10317.000023386	35.27618	636.970588235	438.0
10317.000036072	29.79333	715.8	389.0
10317.000036106	19.61655	467.37037037	233.0
10317.000026107	37.84729	700.75	487.0
10317.000030757	30.17484	605.779411765	414.0
10317.000017117	10.94674	152.115384615	119.0
10317.000017075	26.16731	519.942307692	346.0
10317.000017116	23.11448	485.048387097	356.0
10317.000036110	28.52476	702.222222222	383.0
10317.000026140	24.01301	514.727272727	330.0
10317.000036429	36.57228	754.361445783	517.0
10317.000036068	27.61186	643.108695652	387.0
10317.000017071	26.27708	480.87755102	315.0
10317.000036108	26.10371	598.838235294	395.0
10317.000036100	19.62513	391.813953488	234.0
10317.000030771	17.6781	393.620689655	216.0
10317.000017093	24.16324	511.571428571	315.0
10317.000030774	32.06284	630.181818182	396.0
10317.000036932	24.48444	534.666666667	344.0
10317.000017080	29.25473	630.761904762	416.0
10317.000023387	19.85742	404.222222222	271.0
10317.000036076	25.08687	425.238095238	323.0
10317.000036395	20.80627	473.5	295.0
10317.000026110	24.92524	578.0	361.0
10317.000026104	28.29662	582.018181818	400.0
10317.000030751	24.83202	462.914893617	311.0
10317.000030747	34.64363	711.114285714	460.0
10317.000036406	15.80544	306.217391304	179.0
10317.000036418	25.53495	576.127659574	354.0
10317.000023381	21.31447	470.428571429	323.0
10317.000036425	17.18052	270.888888889	189.0
10317.000036104	35.07038	732.228915663	509.0
10317.000026111	23.81769	378.026315789	263.0
10317.000036928	30.82933	568.593220339	413.0
10317.000017104	24.23387	540.92	335.0
10317.000017109	28.54032	621.117647059	381.0
10317.000030745	31.08856	634.850746269	405.0
10317.000023388	24.39367	470.05	345.0
10317.000026101	16.07982	311.736842105	211.0
10317.000036399	19.48351	572.75	255.0
10317.000017074	23.79336	488.022222222	332.0
10317.000030740	23.70776	433.794117647	267.0
10317.000023391	23.51942	509.381818182	340.0
10317.000017098	29.64168	607.4	419.0
10317.000036070	27.65059	585.058823529	398.0
10317.000036934	17.82883	361.117647059	227.0
10317.000036113	27.93809	640.607142857	399.0
10317.000023382	30.14763	629.458333333	418.0
10317.000036101	25.15132	557.058823529	369.0
10317.000017089	26.30773	596.559322034	389.0
10317.000036111	33.77942	798.873015873	483.0
10317.000026128	37.23898	716.909090909	503.0
10317.000036925	27.42937	691.565217391	401.0
10317.000036417	24.54011	628.318181818	350.0
10317.000036103	33.73115	678.526315789	457.0
10317.000017086	25.35465	475.62	328.0
