	PD_whole_tree	chao1	observed_otus
10317.000030760	33.17121	718.785714286	473.0
10317.000030732	34.09254	671.491803279	436.0
10317.000023384	30.06591	599.253521127	411.0
10317.000026137	23.27366	376.220588235	316.0
10317.000030734	25.23153	613.5	333.0
10317.000017085	25.69652	528.595744681	339.0
10317.000026131	31.06855	619.011904762	448.0
10317.000036391	32.29396	681.769230769	412.0
10317.000036087	25.77519	538.529411765	345.0
10317.000017072	28.94269	812.0	413.0
10317.000030735	36.53386	644.012048193	475.0
10317.000017083	27.96597	494.0	367.0
10317.000036383	31.38282	656.25	430.0
10317.000030765	33.79334	670.085714286	460.0
10317.000017394	32.95625	626.779661017	403.0
10317.000017091	30.5016	754.448275862	435.0
10317.000030733	30.25268	721.5	417.0
10317.000036427	37.65881	736.442857143	488.0
10317.000017106	40.69414	824.170731707	541.0
10317.000036069	21.84214	476.75	285.0
10317.000030759	26.84614	524.319148936	329.0
10317.000017113	34.42267	613.081081081	458.0
10317.000026129	26.02228	461.914893617	320.0
10317.000030772	27.6805	564.833333333	384.0
10317.000017092	25.84161	502.936170213	330.0
10317.000017120	21.66119	538.318181818	314.0
10317.000036414	31.81363	619.161290323	414.0
10317.000036912	26.85099	572.616438356	407.0
10317.000017362	30.27383	654.01754386	393.0
10317.000026095	24.33231	613.027777778	331.0
10317.000026134	18.88071	368.526315789	246.0
10317.000026100	38.08673	624.076923077	475.0
10317.000017095	32.95341	671.0	451.0
10317.000017358	28.06798	753.695652174	334.0
10317.000036402	32.43226	640.679012346	457.0
10317.000017077	24.75553	502.025641026	322.0
10317.000026116	27.94247	582.310344828	363.0
10317.000030753	22.67685	457.75	291.0
10317.000017107	31.9929	550.75	423.0
10317.000030748	29.23779	678.666666667	422.0
10317.000030754	35.45668	699.105263158	432.0
10317.000036093	28.87371	606.942857143	416.0
10317.000036077	23.15146	354.333333333	253.0
10317.000030775	27.45113	451.245283019	321.0
10317.000026099	28.739	607.590909091	410.0
10317.000036422	33.67287	717.783783784	470.0
10317.000036939	29.69699	630.018181818	387.0
10317.000023390	29.6974	564.357142857	398.0
10317.000030749	27.87111	411.283018868	294.0
10317.000017115	31.86356	502.158730159	367.0
10317.000036392	27.92761	520.018181818	358.0
10317.000036413	26.80171	493.451612903	282.0
10317.000026112	28.07939	482.25862069	355.0
10317.000036098	29.18451	533.786885246	365.0
10317.000036420	23.62564	491.5	301.0
10317.000030763	20.88555	586.617647059	271.0
10317.000030756	26.01019	532.22	332.0
10317.000036398	30.68775	575.473684211	406.0
10317.000036943	27.99425	572.725806452	402.0
10317.000036394	27.80013	561.567164179	397.0
10317.000036112	20.97072	474.214285714	236.0
10317.000036099	31.49829	622.075949367	457.0
10317.000026136	30.78159	502.5	390.0
10317.000036927	28.00957	588.444444444	399.0
10317.000036107	31.44687	741.25	426.0
10317.000030736	28.71707	667.553571429	408.0
10317.000036428	27.04721	485.355932203	354.0
10317.000023389	19.66453	457.525	282.0
10317.000030750	20.68021	397.071428571	272.0
10317.000026119	38.98361	754.382978723	549.0
10317.000036080	30.90402	588.723684211	415.0
10317.000017081	16.51783	348.64	199.0
10317.000017119	19.02672	450.027777778	255.0
10317.000036075	28.55685	703.163265306	396.0
10317.000026133	27.12968	557.196078431	341.0
10317.000026120	28.92066	597.304347826	394.0
10317.000030744	23.85559	511.333333333	325.0
10317.000017079	22.54642	433.666666667	283.0
10317.000036097	23.64259	539.731707317	299.0
10317.000036947	24.37345	464.270833333	318.0
10317.000036926	29.98206	659.678571429	394.0
10317.000030743	27.73986	559.098591549	391.0
10317.000026127	27.22173	682.0	407.0
10317.000017111	21.01302	342.454545455	276.0
10317.000017088	27.41695	601.844827586	388.0
10317.000026122	21.32992	466.622641509	301.0
10317.000036082	25.61902	532.872727273	361.0
10317.000017114	20.2555	422.323529412	246.0
10317.000036078	24.41098	482.0	308.0
10317.000026114	24.58807	550.192307692	341.0
10317.000030739	22.17944	477.105263158	330.0
10317.000030746	30.18797	644.158730159	432.0
10317.000036423	22.90017	519.557692308	316.0
10317.000026141	31.31857	626.137931034	415.0
10317.000036081	28.04654	514.928571429	351.0
10317.000036083	30.64054	601.466666667	379.0
10317.000036941	32.85586	606.904109589	437.0
10317.000023386	35.50152	629.696202532	450.0
10317.000036072	29.44771	605.777777778	379.0
10317.000036106	19.04162	424.285714286	233.0
10317.000026107	38.07056	710.202531646	504.0
10317.000030757	29.09672	579.6875	398.0
10317.000017117	11.92134	224.0	131.0
10317.000017075	26.00266	517.3	347.0
10317.000017116	24.06789	537.666666667	381.0
10317.000036110	29.49371	736.375	397.0
10317.000026140	24.4722	480.518518519	337.0
10317.000036429	35.63883	801.0	525.0
10317.000036068	26.96676	555.591836735	371.0
10317.000017071	25.69653	432.529411765	304.0
10317.000036108	26.22951	610.666666667	388.0
10317.000036100	17.71821	358.418604651	229.0
10317.000030771	16.47969	346.206896552	205.0
10317.000017093	23.68498	458.163265306	310.0
