	PD_whole_tree	chao1	observed_otus
10317.000030760	33.7952	832.171875	486.0
10317.000030732	33.47792	609.246575342	435.0
10317.000023384	30.46499	611.710144928	418.0
10317.000026137	22.49153	384.75	305.0
10317.000030734	25.19779	618.318181818	340.0
10317.000017085	25.67152	502.660377358	342.0
10317.000026131	31.83263	704.518518519	471.0
10317.000036391	32.19403	567.081081081	412.0
10317.000036087	26.25039	608.234042553	351.0
10317.000017072	28.52274	588.438596491	395.0
10317.000030735	36.77898	726.081081081	486.0
10317.000017083	26.55696	509.105263158	362.0
10317.000036383	30.6413	618.25	417.0
10317.000030765	34.07134	691.428571429	458.0
10317.000017394	32.85704	675.0	402.0
10317.000017091	32.04939	747.590163934	447.0
10317.000030733	31.25163	691.55	429.0
10317.000036427	39.59034	829.205479452	517.0
10317.000017106	40.6893	829.4	534.0
10317.000036069	21.08764	445.5	273.0
10317.000030759	27.16386	566.317073171	329.0
10317.000017113	34.66895	641.942857143	467.0
10317.000026129	26.04434	472.682926829	310.0
10317.000030772	27.33555	623.557692308	382.0
10317.000017092	25.13288	488.87755102	323.0
10317.000017120	22.18151	484.348837209	307.0
10317.000036414	32.48705	607.4	419.0
10317.000036912	28.48767	666.718309859	427.0
10317.000017362	29.94141	520.042253521	373.0
10317.000026095	23.98794	523.023255814	325.0
10317.000026134	18.16067	330.736842105	230.0
10317.000026100	38.61199	641.763888889	476.0
10317.000017095	31.61414	572.696202532	435.0
10317.000017358	26.81896	631.781818182	329.0
10317.000036402	32.34643	667.486486486	457.0
10317.000017077	24.7848	472.117647059	325.0
10317.000026116	29.00972	686.022727273	371.0
10317.000030753	23.0864	438.790697674	289.0
10317.000017107	31.87039	564.0	417.0
10317.000030748	28.72714	605.482758621	405.0
10317.000030754	35.02315	675.193548387	438.0
10317.000036093	28.37714	648.678571429	410.0
10317.000036077	22.86971	347.488372093	248.0
10317.000030775	25.97897	478.166666667	311.0
10317.000026099	28.52289	662.474576271	419.0
10317.000036422	33.9795	659.010638298	474.0
10317.000036939	29.90056	634.607142857	393.0
10317.000023390	29.19133	524.147058824	397.0
10317.000030749	28.25137	478.934782609	305.0
10317.000017115	31.06258	541.956521739	354.0
10317.000036392	28.81497	554.701754386	369.0
10317.000036413	26.21512	437.52173913	290.0
10317.000026112	28.87794	630.926829268	362.0
10317.000036098	28.92283	572.084745763	375.0
10317.000036420	24.4231	469.75	306.0
10317.000030763	19.71294	489.902439024	266.0
10317.000030756	25.66296	503.20754717	330.0
10317.000036398	31.77292	584.643835616	406.0
10317.000036943	28.32909	598.842105263	408.0
10317.000036394	28.53049	601.196721311	403.0
10317.000036112	20.72446	355.871794872	234.0
10317.000036099	31.50915	636.197368421	456.0
10317.000026136	32.1652	560.846153846	409.0
10317.000036927	26.88109	555.084745763	383.0
10317.000036107	31.85848	716.047619048	425.0
10317.000030736	28.93617	656.119402985	421.0
10317.000036428	27.3901	492.474576271	359.0
10317.000023389	19.27739	421.382978723	277.0
10317.000030750	19.91294	434.625	264.0
10317.000026119	40.80322	904.35443038	571.0
10317.000036080	29.92054	621.294117647	415.0
10317.000017081	17.21718	323.903225806	206.0
10317.000017119	18.39714	354.625	243.0
10317.000036075	29.08329	641.368421053	404.0
10317.000026133	27.81538	590.49122807	356.0
10317.000026120	28.78464	680.471698113	403.0
