	PD_whole_tree	chao1	observed_otus
10317.000030760	34.94887	815.671641791	485.0
10317.000030732	34.02757	651.984375	438.0
10317.000023384	32.26742	718.31884058	447.0
10317.000026137	23.42055	434.790697674	315.0
10317.000030734	24.48743	513.025	313.0
10317.000017085	25.47	482.222222222	341.0
10317.000026131	29.879	608.358974359	437.0
10317.000036391	32.61947	633.442622951	417.0
10317.000036087	26.32408	522.442622951	356.0
10317.000017072	27.62837	623.519230769	385.0
10317.000030735	36.75045	721.833333333	488.0
10317.000017083	28.30285	658.638297872	388.0
10317.000036383	31.48954	723.546875	443.0
10317.000030765	33.56803	672.641791045	448.0
10317.000017394	33.73936	691.75862069	414.0
10317.000017091	31.54468	629.943661972	430.0
10317.000030733	31.96441	684.540540541	447.0
10317.000036427	38.45065	759.68	497.0
10317.000017106	41.21027	984.892307692	551.0
10317.000036069	21.33444	517.526315789	290.0
10317.000030759	25.19052	393.725806452	309.0
10317.000017113	34.17995	680.225806452	462.0
10317.000026129	26.35019	479.042553191	322.0
10317.000030772	27.05865	562.196721311	379.0
10317.000017092	25.5335	465.87755102	325.0
10317.000017120	23.30685	466.166666667	318.0
10317.000036414	32.34549	600.25	406.0
10317.000036912	27.28314	641.23880597	414.0
10317.000017362	30.12589	608.181818182	374.0
10317.000026095	24.546	608.523809524	346.0
10317.000026134	18.42778	344.333333333	238.0
10317.000026100	38.24065	643.733333333	472.0
10317.000017095	33.07119	610.037037037	453.0
10317.000017358	26.74284	623.181818182	327.0
10317.000036402	33.07694	742.876712329	473.0
10317.000017077	24.65381	466.489795918	328.0
10317.000026116	28.37439	648.352941176	370.0
10317.000030753	23.44167	484.466666667	301.0
10317.000017107	31.04008	508.876712329	401.0
10317.000030748	28.92143	674.5	415.0
10317.000030754	34.2404	608.516129032	411.0
10317.000036093	29.36597	627.225806452	409.0
10317.000036077	22.54735	357.833333333	239.0
10317.000030775	26.11022	423.466666667	309.0
10317.000026099	28.05389	618.630769231	418.0
10317.000036422	32.80465	721.942857143	460.0
10317.000036939	29.79816	565.881355932	384.0
10317.000023390	29.9808	569.0	399.0
10317.000030749	28.42652	513.818181818	324.0
10317.000017115	29.69337	456.0	341.0
10317.000036392	30.14724	658.52173913	382.0
10317.000036413	26.96483	426.717391304	294.0
10317.000026112	29.21427	511.153846154	372.0
10317.000036098	29.06412	528.114754098	364.0
10317.000036420	23.87962	430.25862069	303.0
10317.000030763	20.77893	476.5	268.0
10317.000030756	25.93369	593.625	329.0
10317.000036398	30.79422	668.0	404.0
10317.000036943	27.6511	605.655737705	410.0
10317.000036394	28.01393	566.318181818	397.0
10317.000036112	20.39888	324.333333333	218.0
10317.000036099	31.79717	718.294117647	468.0
10317.000026136	30.83531	482.136363636	401.0
10317.000036927	27.59938	565.0	391.0
10317.000036107	30.24365	754.5	422.0
10317.000030736	27.82595	577.418918919	399.0
10317.000036428	27.53817	488.25	357.0
10317.000023389	18.6954	420.625	268.0
10317.000030750	19.10806	360.578947368	248.0
10317.000026119	38.68802	878.541666667	547.0
10317.000036080	29.79103	581.514705882	406.0
10317.000017081	16.99212	339.533333333	209.0
10317.000017119	17.93981	311.962264151	243.0
10317.000036075	29.75293	683.175438596	413.0
10317.000026133	26.35558	544.245283019	339.0
10317.000026120	28.76582	631.678571429	393.0
10317.000030744	24.64133	523.58490566	340.0
10317.000017079	22.87683	431.666666667	286.0
10317.000036097	22.73891	492.022222222	294.0
10317.000036947	24.17944	506.3	336.0
10317.000036926	28.49499	536.114754098	372.0
10317.000030743	27.93904	613.818181818	391.0
10317.000026127	27.02969	638.018867925	395.0
10317.000017111	21.00273	336.103448276	276.0
10317.000017088	27.94682	563.96875	394.0
10317.000026122	20.88625	433.444444444	299.0
10317.000036082	26.56318	547.122807018	369.0
10317.000017114	19.12053	348.363636364	227.0
10317.000036078	24.7268	463.75	315.0
10317.000026114	25.03269	589.195652174	343.0
10317.000030739	23.5406	601.92	357.0
10317.000030746	30.31443	619.970588235	421.0
10317.000036423	23.01382	603.0	305.0
10317.000026141	31.41512	652.4375	407.0
10317.000036081	27.66746	499.875	341.0
10317.000036083	30.90848	581.131147541	393.0
10317.000036941	32.3601	729.185185185	444.0
10317.000023386	34.4964	613.016129032	423.0
10317.000036072	29.70841	586.048387097	386.0
10317.000036106	20.21993	436.28125	235.0
10317.000026107	38.56627	671.182926829	496.0
10317.000030757	28.439	586.444444444	385.0
10317.000017117	12.67226	264.058823529	134.0
10317.000017075	25.60779	470.716981132	336.0
10317.000017116	24.66839	621.615384615	377.0
10317.000036110	29.36378	660.4	407.0
10317.000026140	23.93768	505.6875	339.0
10317.000036429	34.44248	764.942857143	503.0
10317.000036068	27.20471	560.058823529	372.0
10317.000017071	26.12127	455.725490196	311.0
10317.000036108	26.6283	612.964912281	387.0
10317.000036100	19.31776	499.096774194	241.0
10317.000030771	16.8483	337.25	192.0
10317.000017093	23.0914	466.534883721	306.0
10317.000030774	32.10007	547.428571429	384.0
10317.000036932	23.39858	550.5	333.0
10317.000017080	29.57305	613.385964912	404.0
10317.000023387	19.6776	383.583333333	272.0
10317.000036076	24.92646	481.25	320.0
10317.000036395	21.89147	465.75	298.0
10317.000026110	25.11257	588.777777778	362.0
10317.000026104	27.84453	511.342465753	400.0
10317.000030751	24.84216	433.388888889	312.0
10317.000030747	35.66716	738.554054054	475.0
10317.000036406	15.73406	246.029411765	175.0
10317.000036418	25.27126	486.948275862	349.0
10317.000023381	21.09143	477.6875	311.0
10317.000036425	17.24497	305.25	198.0
10317.000036104	32.84274	652.363636364	468.0
10317.000026111	22.65011	319.695652174	251.0
10317.000036928	30.81	555.901639344	412.0
10317.000017104	23.74174	553.136363636	332.0
10317.000017109	29.42291	596.918032787	391.0
10317.000030745	30.25723	649.254237288	400.0
10317.000023388	24.229	554.636363636	346.0
10317.000026101	15.92387	382.285714286	216.0
10317.000036399	19.28758	425.75	259.0
10317.000017074	25.09607	539.58490566	356.0
10317.000030740	23.48438	421.4	266.0
10317.000023391	24.12226	513.909090909	337.0
10317.000017098	31.01616	626.012987013	446.0
10317.000036070	27.37899	573.615384615	390.0
10317.000036934	19.48234	404.657894737	244.0
10317.000036113	27.16836	564.196721311	381.0
10317.000023382	29.99031	724.844827586	412.0
10317.000036101	26.86455	569.454545455	377.0
