	PD_whole_tree	chao1	observed_otus
10317.000030760	33.4686	716.28358209	465.0
10317.000030732	33.40893	691.888888889	429.0
10317.000023384	30.30584	598.375	415.0
10317.000026137	23.59125	421.125	318.0
10317.000030734	23.76082	597.153846154	322.0
10317.000017085	25.54902	548.5	343.0
10317.000026131	31.25297	680.378787879	439.0
10317.000036391	32.33178	638.118644068	406.0
10317.000036087	26.71001	518.846153846	356.0
10317.000017072	29.0082	634.901408451	418.0
10317.000030735	37.48541	826.140625	493.0
10317.000017083	27.72515	542.467741935	381.0
10317.000036383	31.07327	629.304347826	426.0
10317.000030765	35.57213	718.294117647	468.0
10317.000017394	33.35631	718.962264151	415.0
10317.000017091	30.64879	797.02173913	423.0
10317.000030733	30.84651	624.515151515	422.0
10317.000036427	37.7668	834.015384615	506.0
10317.000017106	40.0986	750.413793103	533.0
10317.000036069	20.98847	464.516129032	264.0
10317.000030759	26.70997	476.038461538	327.0
10317.000017113	33.85514	623.725806452	453.0
10317.000026129	27.0315	486.75	319.0
10317.000030772	26.27622	549.6	365.0
10317.000017092	25.38459	454.058823529	321.0
10317.000017120	23.26846	626.533333333	316.0
10317.000036414	31.41401	545.424242424	398.0
10317.000036912	28.62153	647.263888889	426.0
10317.000017362	30.28196	691.125	397.0
10317.000026095	25.81403	695.459459459	343.0
10317.000026134	18.75747	383.096774194	236.0
10317.000026100	37.47218	635.544117647	469.0
10317.000017095	32.58668	639.151515152	444.0
10317.000017358	27.35995	643.684210526	332.0
10317.000036402	32.9267	727.044117647	463.0
10317.000017077	24.89555	511.256410256	322.0
10317.000026116	27.1085	561.62	347.0
10317.000030753	24.09998	459.818181818	305.0
10317.000017107	31.59514	526.083333333	406.0
10317.000030748	28.9701	598.661290323	416.0
10317.000030754	33.83214	629.596491228	412.0
10317.000036093	28.88104	643.982758621	405.0
10317.000036077	23.811	345.833333333	256.0
10317.000030775	26.33497	455.444444444	321.0
10317.000026099	27.56078	702.725490196	411.0
10317.000036422	33.37497	690.0	460.0
10317.000036939	29.51989	617.381818182	389.0
10317.000023390	29.89483	582.352941176	397.0
10317.000030749	26.99963	637.0	297.0
10317.000017115	29.99278	482.803571429	351.0
10317.000036392	30.08358	569.096774194	384.0
10317.000036413	27.11698	436.222222222	288.0
10317.000026112	29.18131	564.181818182	381.0
10317.000036098	28.22623	525.928571429	362.0
10317.000036420	24.04986	482.024390244	293.0
10317.000030763	19.46648	515.394736842	263.0
10317.000030756	26.47603	483.305084746	330.0
10317.000036398	31.16887	531.368421053	394.0
10317.000036943	27.41091	577.416666667	401.0
10317.000036394	28.70593	572.763888889	407.0
10317.000036112	20.35092	375.5	218.0
10317.000036099	32.67274	730.613333333	481.0
10317.000026136	31.52667	531.086956522	400.0
10317.000036927	27.44541	549.640625	391.0
10317.000036107	31.16106	758.909090909	415.0
10317.000030736	27.89588	714.163934426	426.0
10317.000036428	28.15197	533.220338983	373.0
10317.000023389	19.63588	406.82	278.0
10317.000030750	19.06958	413.583333333	259.0
10317.000026119	39.70193	862.448275862	565.0
10317.000036080	28.89954	624.568965517	408.0
10317.000017081	16.95909	322.206896552	202.0
10317.000017119	18.88553	395.5	244.0
10317.000036075	28.73043	598.5	397.0
10317.000026133	27.12806	626.790697674	342.0
10317.000026120	28.46388	548.652173913	391.0
10317.000030744	24.85707	568.212765957	343.0
10317.000017079	22.71472	416.4	283.0
10317.000036097	23.55126	616.162162162	306.0
10317.000036947	24.42742	532.022222222	334.0
10317.000036926	30.39792	678.101694915	402.0
10317.000030743	29.02441	621.967213115	392.0
10317.000026127	28.30146	666.517857143	410.0
10317.000017111	20.73113	333.25	271.0
10317.000017088	29.35194	621.0	401.0
