	PD_whole_tree	chao1	observed_otus
10317.000030760	34.0552	772.142857143	485.0
10317.000030732	34.00306	609.134328358	431.0
10317.000023384	30.99991	662.142857143	432.0
10317.000026137	22.53707	367.936170213	299.0
10317.000030734	24.23149	637.583333333	323.0
10317.000017085	23.85549	517.466666667	334.0
10317.000026131	31.0217	703.359375	446.0
10317.000036391	31.90899	633.157894737	410.0
10317.000036087	26.79206	632.333333333	364.0
10317.000017072	28.53519	631.508196721	407.0
10317.000030735	37.08816	764.0	479.0
10317.000017083	27.29053	500.147058824	373.0
10317.000036383	31.19869	731.118644068	430.0
10317.000030765	36.04333	694.703703704	480.0
10317.000017394	32.72372	656.283018868	401.0
10317.000017091	30.95986	711.181818182	442.0
10317.000030733	31.06478	657.428571429	424.0
10317.000036427	37.4506	675.039473684	477.0
10317.000017106	39.78273	773.957746479	513.0
10317.000036069	21.0875	414.75	276.0
10317.000030759	27.09476	485.773584906	330.0
10317.000017113	34.72043	640.194805195	475.0
10317.000026129	26.16467	465.352941176	323.0
10317.000030772	27.71384	599.654545455	377.0
10317.000017092	25.10559	416.5	319.0
10317.000017120	22.6493	538.279069767	312.0
10317.000036414	32.5991	569.14084507	418.0
10317.000036912	27.09178	583.22972973	407.0
10317.000017362	29.49777	558.643835616	380.0
10317.000026095	23.98071	501.936170213	329.0
10317.000026134	19.14106	436.34375	249.0
10317.000026100	38.99298	608.739130435	484.0
10317.000017095	33.85536	620.265822785	449.0
10317.000017358	25.83673	625.596491228	327.0
10317.000036402	31.66881	644.5	437.0
10317.000017077	24.3228	482.770833333	329.0
10317.000026116	27.89663	612.591836735	353.0
10317.000030753	23.86464	587.405405405	313.0
10317.000017107	31.77388	564.013513514	419.0
10317.000030748	28.26764	584.428571429	398.0
10317.000030754	34.3309	643.068965517	421.0
10317.000036093	29.19714	684.098360656	420.0
10317.000036077	21.48609	339.227272727	242.0
10317.000030775	25.87962	424.571428571	311.0
10317.000026099	28.88581	631.444444444	427.0
10317.000036422	33.84609	779.491803279	463.0
10317.000036939	30.20489	606.509090909	381.0
10317.000023390	29.86302	542.068965517	393.0
10317.000030749	28.10828	506.069767442	305.0
10317.000017115	29.67677	531.352941176	354.0
10317.000036392	28.79597	624.06	376.0
10317.000036413	27.57321	527.428571429	306.0
10317.000026112	28.91152	587.06122449	374.0
10317.000036098	28.35413	541.051724138	366.0
10317.000036420	24.04437	491.645833333	306.0
10317.000030763	19.4491	451.523809524	258.0
10317.000030756	26.05495	520.886792453	332.0
10317.000036398	30.90466	608.5	401.0
10317.000036943	26.9464	558.467741935	397.0
10317.000036394	28.51567	559.0	410.0
10317.000036112	19.44208	349.103448276	211.0
10317.000036099	32.16987	740.65625	466.0
10317.000026136	32.3146	564.0	417.0
10317.000036927	26.85162	553.263157895	385.0
10317.000036107	30.17131	668.029850746	414.0
10317.000030736	27.22556	527.467532468	390.0
10317.000036428	27.10094	484.0	357.0
10317.000023389	20.03461	437.25	286.0
10317.000030750	20.04756	410.133333333	272.0
10317.000026119	38.86686	840.425287356	561.0
10317.000036080	29.51767	614.630769231	409.0
10317.000017081	16.51144	308.035714286	198.0
10317.000017119	19.13167	458.517241379	248.0
10317.000036075	28.29187	558.96875	389.0
10317.000026133	27.07352	533.25	338.0
10317.000026120	28.95382	698.098360656	413.0
10317.000030744	24.62963	540.428571429	339.0
10317.000017079	23.4947	405.705882353	286.0
