	PD_whole_tree	chao1	observed_otus
10317.000030760	33.35817	668.961538462	467.0
10317.000030732	33.56792	634.153846154	436.0
10317.000023384	31.39737	647.846153846	432.0
10317.000026137	23.38563	371.580645161	314.0
10317.000030734	25.98665	641.534883721	342.0
10317.000017085	24.92221	462.050847458	339.0
10317.000026131	30.39284	735.966666667	443.0
10317.000036391	32.78044	620.153846154	412.0
10317.000036087	25.75928	561.192307692	352.0
10317.000017072	28.11863	563.080645161	390.0
10317.000030735	37.80677	781.217391304	487.0
10317.000017083	28.37122	630.555555556	395.0
10317.000036383	31.30971	685.294117647	435.0
10317.000030765	33.90077	732.828125	464.0
10317.000017394	33.51436	697.886792453	404.0
10317.000017091	31.50433	777.559322034	447.0
10317.000030733	32.24581	713.820895522	443.0
10317.000036427	38.18254	706.581081081	484.0
10317.000017106	40.25952	859.581081081	537.0
10317.000036069	21.4713	411.692307692	269.0
10317.000030759	28.05601	575.317073171	338.0
10317.000017113	34.54482	672.47826087	474.0
10317.000026129	26.47721	485.042553191	328.0
10317.000030772	27.92859	594.518518519	382.0
10317.000017092	25.01485	408.803571429	315.0
10317.000017120	22.61363	488.395833333	311.0
10317.000036414	31.93713	588.327868852	410.0
10317.000036912	27.27838	608.285714286	415.0
10317.000017362	30.11025	659.722222222	381.0
10317.000026095	23.82339	561.0	329.0
10317.000026134	18.81509	375.303030303	240.0
10317.000026100	37.11857	577.763888889	454.0
10317.000017095	34.24163	671.985915493	460.0
10317.000017358	27.00356	728.0	338.0
10317.000036402	31.22069	598.28	435.0
10317.000017077	25.16482	495.255319149	333.0
10317.000026116	27.96703	555.8	362.0
10317.000030753	24.68918	540.923076923	309.0
10317.000017107	30.85157	560.666666667	404.0
10317.000030748	28.03961	597.684210526	399.0
10317.000030754	34.17658	622.5	421.0
10317.000036093	29.19365	686.509090909	416.0
10317.000036077	22.41182	327.078431373	245.0
10317.000030775	26.2801	478.826086957	321.0
10317.000026099	27.84083	619.833333333	425.0
10317.000036422	34.41152	796.583333333	483.0
10317.000036939	29.80833	580.508474576	386.0
10317.000023390	28.46732	530.181818182	387.0
10317.000030749	27.3992	573.085714286	303.0
10317.000017115	31.83793	548.25	372.0
10317.000036392	28.45855	564.716981132	365.0
10317.000036413	26.62037	424.222222222	291.0
10317.000026112	28.59513	562.333333333	369.0
10317.000036098	28.89563	578.909090909	373.0
10317.000036420	25.17315	462.769230769	304.0
10317.000030763	19.56449	462.139534884	258.0
10317.000030756	25.14897	512.642857143	313.0
10317.000036398	31.04237	613.815384615	398.0
10317.000036943	28.18531	566.378787879	406.0
10317.000036394	27.83266	559.661764706	404.0
10317.000036112	20.08102	375.322580645	222.0
10317.000036099	32.01854	653.538461538	465.0
10317.000026136	32.27889	554.463414634	420.0
10317.000036927	26.21563	498.0	373.0
10317.000036107	31.72519	740.25	425.0
10317.000030736	28.25621	636.8	403.0
10317.000036428	27.53193	456.513888889	359.0
10317.000023389	18.78355	464.894736842	277.0
10317.000030750	19.25293	377.11627907	262.0
10317.000026119	38.49464	821.131578947	546.0
10317.000036080	31.12677	687.359375	430.0
10317.000017081	16.23372	307.857142857	195.0
10317.000017119	19.13284	379.486486486	243.0
10317.000036075	27.91471	527.703125	380.0
10317.000026133	28.75944	605.553571429	361.0
10317.000026120	28.57961	579.714285714	398.0
10317.000030744	25.1024	616.217391304	350.0
10317.000017079	22.52289	356.018518519	268.0
10317.000036097	21.63036	410.784313725	280.0
10317.000036947	24.58209	471.725490196	327.0
10317.000036926	29.07243	737.0	387.0
10317.000030743	28.953	683.254237288	401.0
10317.000026127	28.43326	653.681818182	423.0
10317.000017111	20.77757	333.084745763	274.0
10317.000017088	27.39054	624.49122807	390.0
10317.000026122	20.96011	499.568181818	294.0
10317.000036082	25.71021	560.333333333	367.0
10317.000017114	20.3274	392.677419355	233.0
10317.000036078	25.62724	561.026315789	323.0
10317.000026114	24.75872	613.923076923	335.0
10317.000030739	22.19123	524.388888889	339.0
10317.000030746	30.14707	692.560606061	443.0
10317.000036423	22.64603	484.0	292.0
10317.000026141	30.88997	641.7	403.0
10317.000036081	27.89724	511.357142857	345.0
10317.000036083	30.23909	549.725490196	375.0
10317.000036941	32.90376	644.515151515	442.0
10317.000023386	35.25325	563.6	432.0
10317.000036072	29.74236	614.631578947	383.0
10317.000036106	19.49858	425.823529412	243.0
10317.000026107	37.13963	711.851851852	504.0
10317.000030757	29.85469	597.873015873	401.0
10317.000017117	12.19996	219.5	131.0
10317.000017075	26.74776	579.318181818	355.0
10317.000017116	24.39768	524.229508197	367.0
10317.000036110	28.4603	630.904761905	392.0
10317.000026140	23.58941	445.016393443	326.0
10317.000036429	35.50322	754.345679012	516.0
10317.000036068	25.4331	465.043478261	365.0
10317.000017071	26.26513	426.0	309.0
10317.000036108	26.07995	633.611111111	380.0
10317.000036100	19.93257	479.0	248.0
10317.000030771	17.85315	391.625	221.0
10317.000017093	23.73052	494.139534884	311.0
10317.000030774	33.61238	659.086956522	423.0
10317.000036932	24.43354	528.701754386	343.0
10317.000017080	28.85576	607.151515152	412.0
10317.000023387	19.04372	426.162162162	270.0
10317.000036076	23.93473	426.283018868	309.0
10317.000036395	21.77545	456.638297872	297.0
10317.000026110	24.62906	610.071428571	344.0
10317.000026104	27.84584	533.4375	390.0
10317.000030751	24.8151	466.442307692	315.0
10317.000030747	34.84209	771.65625	470.0
10317.000036406	14.65637	266.916666667	172.0
10317.000036418	26.81057	590.528301887	374.0
10317.000023381	21.27182	473.638297872	314.0
10317.000036425	17.37622	290.464285714	194.0
10317.000036104	34.1684	773.808823529	487.0
10317.000026111	23.0376	364.341463415	260.0
10317.000036928	30.82933	564.033898305	413.0
10317.000017104	24.01522	510.962264151	330.0
10317.000017109	27.65667	468.163934426	355.0
10317.000030745	29.5528	735.0	406.0
10317.000023388	25.0211	531.125	351.0
10317.000026101	14.89058	410.954545455	208.0
10317.000036399	19.55781	435.525	260.0
10317.000017074	24.52785	469.037735849	341.0
10317.000030740	22.89314	404.972972973	263.0
10317.000023391	24.44808	446.238095238	331.0
10317.000017098	31.16288	577.265822785	432.0
10317.000036070	27.71091	617.448275862	387.0
10317.000036934	18.84516	390.5	239.0
10317.000036113	26.76312	565.781818182	368.0
10317.000023382	31.07265	660.873015873	408.0
10317.000036101	26.67009	617.5	382.0
10317.000017089	26.25207	548.267857143	377.0
10317.000036111	32.38678	668.090909091	453.0
10317.000026128	38.31073	801.345679012	533.0
10317.000036925	28.03585	570.493150685	407.0
10317.000036417	22.61133	502.842105263	337.0
10317.000036103	34.11115	714.333333333	448.0
10317.000017086	25.44941	481.529411765	332.0
10317.000023380	25.06618	500.222222222	311.0
10317.000017101	34.93319	706.050847458	448.0
10317.000036085	25.56623	571.319148936	343.0
10317.000030742	31.74806	660.109090909	402.0
10317.000026094	35.62031	822.1	477.0
10317.000036084	26.59995	569.347826087	385.0
10317.000026106	27.35282	578.096774194	393.0
10317.000017395	26.01396	554.753623188	375.0
10317.000026138	24.7172	521.676470588	301.0
10317.000023385	25.37845	476.529411765	327.0
10317.000017094	31.31031	662.555555556	412.0
10317.000026135	31.14303	613.909090909	408.0
10317.000036412	26.94473	520.139534884	337.0
10317.000026130	23.51492	484.888888889	332.0
10317.000026132	26.50455	603.892857143	388.0
10317.000017076	25.98824	502.0	349.0
10317.000017393	28.49472	441.192307692	328.0
10317.000023383	26.44715	427.434782609	311.0
10317.000026098	28.51595	533.508474576	359.0
10317.000030738	33.59833	607.685185185	378.0
10317.000017090	31.59982	728.538461538	429.0
10317.000036430	26.35331	444.388888889	323.0
10317.000017073	26.43562	515.56	340.0
10317.000026096	32.00923	836.944444444	461.0
10317.000036071	22.75415	487.454545455	323.0
10317.000036919	28.07116	553.338235294	389.0
10317.000017108	18.41902	322.23255814	227.0
10317.000036105	28.01708	622.255319149	355.0
10317.000026123	25.26432	504.529411765	291.0
10317.000017082	26.33308	615.06	367.0
10317.000026102	23.6526	511.352941176	334.0
10317.000017096	15.06994	252.40625	168.0
10317.000026108	22.42284	453.9375	270.0
10317.000017112	15.56869	353.875	187.0
10317.000036920	21.43845	419.763157895	262.0
10317.000036400	26.25302	500.3	330.0
10317.000030764	28.57429	531.9	351.0
10317.000030741	26.99475	561.508474576	367.0
10317.000036102	32.58007	641.323943662	439.0
10317.000026103	18.44428	303.651162791	232.0
10317.000026109	28.24863	571.406779661	392.0
10317.000026113	24.12455	502.269230769	336.0
10317.000017360	28.50908	723.625	343.0
10317.000026139	27.54867	643.090909091	428.0
10317.000026125	22.50242	517.512195122	313.0
10317.000036109	20.91806	485.0	270.0
10317.000017110	26.6835	559.666666667	369.0
10317.000017103	22.35158	488.757575758	276.0
10317.000026105	16.51206	300.216216216	206.0
10317.000017099	25.14332	540.069767442	354.0
10317.000023392	22.67687	517.021276596	301.0
10317.000036416	21.14489	412.264150943	273.0
10317.000026126	25.29664	522.076923077	297.0
10317.000026143	13.44369	250.5	153.0
10317.000017118	25.14824	513.308823529	364.0
10317.000036933	17.95861	388.333333333	251.0
10317.000026142	23.92313	493.0	289.0
10317.000017097	24.2464	585.170212766	341.0
10317.000017105	16.72788	340.0	174.0
10317.000023378	22.2877	438.081081081	279.0
10317.000030779	30.64795	711.666666667	411.0
10317.000023379	17.40734	414.620689655	237.0
