	PD_whole_tree	chao1	observed_otus
10317.000030760	32.98956	706.126760563	469.0
10317.000030732	34.17056	728.444444444	440.0
10317.000023384	31.16315	648.678571429	410.0
10317.000026137	22.64433	367.681818182	311.0
10317.000030734	24.27063	538.565217391	324.0
10317.000017085	26.18278	564.52173913	353.0
10317.000026131	30.9568	729.546875	449.0
10317.000036391	32.39652	583.134328358	405.0
10317.000036087	26.31916	527.051724138	352.0
10317.000017072	27.92645	576.881355932	390.0
10317.000030735	37.31411	848.166666667	487.0
10317.000017083	28.64401	626.92	382.0
10317.000036383	30.96469	668.625	428.0
10317.000030765	34.13936	746.417910448	467.0
10317.000017394	33.05136	678.509090909	408.0
10317.000017091	31.02478	654.75	431.0
10317.000030733	30.13335	591.125	410.0
10317.000036427	38.23601	879.0	494.0
10317.000017106	40.18639	793.918918919	525.0
10317.000036069	21.13897	424.0	279.0
10317.000030759	26.54478	538.306122449	334.0
10317.000017113	34.58243	616.345679012	469.0
10317.000026129	25.84689	441.294117647	315.0
10317.000030772	27.61659	502.089552239	375.0
10317.000017092	25.81946	476.914893617	325.0
10317.000017120	22.88802	575.023809524	323.0
10317.000036414	32.22256	586.761904762	407.0
10317.000036912	27.69703	659.119402985	424.0
10317.000017362	28.29891	539.85	361.0
10317.000026095	24.36583	617.0	327.0
10317.000026134	19.03382	385.236842105	247.0
10317.000026100	37.9698	643.835820896	468.0
10317.000017095	32.92755	681.681818182	451.0
10317.000017358	28.48164	613.820895522	343.0
10317.000036402	30.95304	565.470588235	434.0
10317.000017077	25.41667	472.725490196	328.0
10317.000026116	27.66183	576.125	363.0
10317.000030753	23.06884	458.022222222	294.0
10317.000017107	32.08312	570.013513514	425.0
10317.000030748	28.18373	563.640625	405.0
10317.000030754	33.92825	656.118644068	424.0
10317.000036093	29.42879	734.659574468	407.0
10317.000036077	23.15329	372.386363636	253.0
10317.000030775	26.57699	455.5	313.0
10317.000026099	28.07093	693.770833333	405.0
10317.000036422	33.62726	671.411764706	469.0
10317.000036939	29.55948	607.108695652	377.0
10317.000023390	29.84335	554.305084746	401.0
10317.000030749	27.72706	502.717391304	309.0
10317.000017115	29.97216	436.47761194	347.0
10317.000036392	29.3605	517.444444444	363.0
10317.000036413	27.16939	420.679245283	297.0
10317.000026112	29.7894	581.916666667	383.0
10317.000036098	28.57816	523.92	351.0
10317.000036420	24.24852	472.87755102	307.0
10317.000030763	19.57376	453.522727273	260.0
10317.000030756	26.16862	535.471698113	333.0
