	PD_whole_tree	chao1	observed_otus
10317.000030760	32.9842	720.225352113	470.0
10317.000030732	33.89491	611.181818182	435.0
10317.000023384	31.49454	669.0	439.0
10317.000026137	23.02835	429.5	314.0
10317.000030734	25.99246	552.196078431	336.0
10317.000017085	25.45439	529.591836735	345.0
10317.000026131	30.33614	647.584415584	443.0
10317.000036391	32.19282	602.666666667	416.0
10317.000036087	24.76263	536.571428571	338.0
10317.000017072	28.43572	587.347826087	403.0
10317.000030735	36.41555	755.820895522	485.0
10317.000017083	27.82875	582.245283019	377.0
10317.000036383	31.03551	675.378787879	434.0
10317.000030765	33.72551	644.014285714	446.0
10317.000017394	33.43816	683.654545455	410.0
10317.000017091	31.15843	663.150684932	440.0
10317.000030733	30.2237	649.564516129	426.0
10317.000036427	39.44514	785.142857143	498.0
10317.000017106	39.73912	728.779069767	520.0
10317.000036069	21.40711	421.447368421	275.0
10317.000030759	25.36285	455.685185185	319.0
10317.000017113	34.24762	683.157894737	460.0
10317.000026129	26.4336	554.977272727	337.0
10317.000030772	27.06612	574.677966102	375.0
10317.000017092	24.57924	465.227272727	311.0
10317.000017120	23.63968	530.894736842	317.0
10317.000036414	31.36777	532.046153846	397.0
10317.000036912	27.33576	619.442622951	403.0
10317.000017362	30.37218	615.514285714	393.0
10317.000026095	25.36649	583.571428571	335.0
10317.000026134	19.26209	411.451612903	242.0
10317.000026100	37.96867	624.0	473.0
10317.000017095	33.67944	643.887323944	451.0
10317.000017358	26.62872	682.942307692	334.0
10317.000036402	32.78265	641.670731707	456.0
10317.000017077	24.7571	440.111111111	325.0
10317.000026116	27.7421	559.365384615	353.0
10317.000030753	23.75314	476.642857143	298.0
10317.000017107	31.9039	580.358208955	418.0
10317.000030748	29.02703	723.5	419.0
10317.000030754	34.19097	623.164383562	431.0
10317.000036093	27.98701	625.068965517	403.0
10317.000036077	21.77048	346.636363636	243.0
10317.000030775	26.03911	492.27027027	312.0
10317.000026099	27.97991	691.0	418.0
10317.000036422	33.2565	724.596774194	456.0
10317.000036939	30.31996	609.018518519	388.0
10317.000023390	30.37463	513.130434783	399.0
10317.000030749	27.28335	438.307692308	301.0
10317.000017115	30.38053	527.395833333	350.0
10317.000036392	28.95089	520.948275862	365.0
10317.000036413	27.13789	451.875	288.0
10317.000026112	27.46012	485.264150943	346.0
10317.000036098	28.86909	630.936170213	377.0
10317.000036420	25.40153	448.474576271	315.0
10317.000030763	19.01721	474.25	252.0
10317.000030756	25.88948	472.444444444	331.0
10317.000036398	30.70719	655.888888889	393.0
10317.000036943	27.79178	597.103448276	407.0
10317.000036394	27.87222	581.571428571	397.0
10317.000036112	20.34572	435.625	221.0
10317.000036099	32.26034	626.11627907	463.0
10317.000026136	32.23821	546.042253521	409.0
10317.000036927	26.66739	508.344262295	373.0
10317.000036107	31.42442	740.25	423.0
10317.000030736	27.95175	611.465753425	417.0
10317.000036428	27.36835	484.482758621	353.0
10317.000023389	19.6102	497.139534884	293.0
10317.000030750	20.03922	405.0	265.0
10317.000026119	38.57323	823.263157895	540.0
10317.000036080	30.15567	672.140625	426.0
10317.000017081	18.59751	432.357142857	226.0
10317.000017119	18.79511	321.068181818	238.0
10317.000036075	28.21001	649.01754386	397.0
10317.000026133	27.05031	720.375	357.0
10317.000026120	28.54123	660.528301887	399.0
10317.000030744	24.24714	488.818181818	334.0
10317.000017079	23.29163	417.037735849	289.0
10317.000036097	23.85405	562.022222222	307.0
10317.000036947	24.29175	534.022222222	327.0
10317.000036926	29.42841	611.033898305	390.0
10317.000030743	28.64964	633.681818182	403.0
10317.000026127	27.82214	655.387096774	407.0
10317.000017111	20.82625	336.157894737	275.0
10317.000017088	26.27679	566.333333333	373.0
10317.000026122	20.16042	449.512195122	284.0
10317.000036082	26.36767	626.125	371.0
10317.000017114	19.83707	416.129032258	240.0
10317.000036078	23.80754	439.1	308.0
10317.000026114	25.28017	548.62295082	358.0
10317.000030739	22.45766	552.679245283	339.0
10317.000030746	30.63665	691.232876712	453.0
10317.000036423	21.56928	559.625	295.0
10317.000026141	30.31576	591.063829787	387.0
10317.000036081	28.71665	551.306122449	347.0
10317.000036083	29.26247	543.85	384.0
10317.000036941	32.88708	633.0	444.0
10317.000023386	35.26638	549.407407407	431.0
10317.000036072	28.84888	615.557692308	374.0
10317.000036106	20.51426	419.5625	239.0
10317.000026107	37.53714	663.850746269	474.0
10317.000030757	31.0263	596.563380282	406.0
10317.000017117	12.92108	222.142857143	135.0
10317.000017075	27.90255	565.892857143	369.0
10317.000017116	24.64643	538.166666667	376.0
10317.000036110	27.66345	584.294117647	371.0
10317.000026140	23.75227	468.444444444	334.0
10317.000036429	35.27057	821.391891892	522.0
10317.000036068	26.89026	547.942307692	374.0
10317.000017071	25.78811	461.80952381	303.0
10317.000036108	27.44028	618.130434783	405.0
10317.000036100	19.36571	394.529411765	245.0
10317.000030771	17.14266	367.434782609	201.0
10317.000017093	23.96976	491.642857143	313.0
10317.000030774	32.36815	590.8	397.0
10317.000036932	24.44724	535.818181818	346.0
10317.000017080	29.382	640.275862069	407.0
10317.000023387	19.60864	386.727272727	265.0
10317.000036076	25.01359	477.684210526	326.0
10317.000036395	21.867	440.685185185	304.0
10317.000026110	24.13482	555.411764706	345.0
10317.000026104	28.05897	563.85	397.0
10317.000030751	25.3783	455.019230769	320.0
10317.000030747	34.65639	816.090909091	474.0
10317.000036406	15.40084	243.333333333	174.0
10317.000036418	26.27641	538.381818182	364.0
10317.000023381	20.9406	483.0	311.0
10317.000036425	16.79469	237.193548387	182.0
10317.000036104	33.4719	691.285714286	489.0
10317.000026111	22.45251	332.6	249.0
10317.000036928	30.76704	558.779661017	410.0
10317.000017104	23.53759	542.063829787	323.0
10317.000017109	29.70474	634.0	394.0
10317.000030745	30.55881	675.567164179	416.0
10317.000023388	24.49938	500.358490566	347.0
10317.000026101	15.44117	325.666666667	207.0
10317.000036399	18.26526	336.666666667	237.0
10317.000017074	24.39954	468.818181818	339.0
10317.000030740	23.49874	462.076923077	279.0
10317.000023391	22.79359	466.625	326.0
10317.000017098	30.59941	621.444444444	432.0
10317.000036070	26.94046	613.631578947	382.0
10317.000036934	18.38868	350.487179487	236.0
10317.000036113	27.65175	552.428571429	389.0
10317.000023382	29.3456	628.794117647	410.0
10317.000036101	26.52577	560.881355932	379.0
10317.000017089	26.08314	507.086956522	376.0
10317.000036111	32.82449	741.55	464.0
10317.000026128	37.78491	730.738636364	518.0
10317.000036925	27.60252	621.524590164	413.0
10317.000036417	24.04837	515.0	335.0
10317.000036103	33.18089	660.514285714	438.0
10317.000017086	24.48072	414.266666667	325.0
10317.000023380	25.79347	554.317073171	317.0
10317.000017101	35.50887	710.921875	462.0
10317.000036085	24.87739	505.660377358	335.0
10317.000030742	31.3984	596.380952381	402.0
10317.000026094	36.96339	803.125	502.0
10317.000036084	26.38652	636.175438596	393.0
10317.000026106	28.07512	565.956521739	404.0
10317.000017395	25.52453	573.375	363.0
10317.000026138	22.61435	411.25	285.0
10317.000023385	26.08977	440.0	327.0
10317.000017094	31.42797	622.880597015	416.0
10317.000026135	30.91692	622.788461538	405.0
10317.000036412	26.93065	515.136363636	339.0
10317.000026130	24.01763	594.170731707	336.0
10317.000026132	26.67415	529.086956522	384.0
10317.000017076	25.58414	472.264150943	333.0
10317.000017393	29.04839	488.781818182	341.0
10317.000023383	27.22695	418.935483871	324.0
10317.000026098	27.78575	563.06	360.0
10317.000030738	33.91461	538.0	382.0
10317.000017090	32.08254	629.153846154	431.0
10317.000036430	27.61956	604.625	340.0
10317.000017073	26.36926	474.0	334.0
10317.000026096	31.64665	674.23880597	447.0
10317.000036071	23.3222	443.016129032	316.0
10317.000036919	29.11402	596.153846154	398.0
10317.000017108	18.14632	330.451612903	218.0
10317.000036105	26.92099	509.288135593	342.0
10317.000026123	24.36472	423.947368421	283.0
10317.000017082	26.28065	568.333333333	367.0
10317.000026102	23.32825	515.023255814	326.0
10317.000017096	14.74156	252.444444444	163.0
10317.000026108	22.99217	501.0	286.0
10317.000017112	14.07063	362.05	175.0
10317.000036920	21.11054	362.046511628	256.0
10317.000036400	25.91692	511.591836735	327.0
10317.000030764	29.07154	573.679245283	360.0
10317.000030741	27.31263	558.196721311	375.0
10317.000036102	32.26807	709.5	438.0
10317.000026103	18.39951	307.026315789	228.0
10317.000026109	28.03068	561.147058824	399.0
10317.000026113	23.69244	471.0	340.0
10317.000017360	27.71257	639.117647059	344.0
10317.000026139	26.65798	628.442622951	412.0
10317.000026125	23.26903	505.568181818	315.0
10317.000036109	21.16464	496.076923077	271.0
10317.000017110	27.69763	524.0	383.0
10317.000017103	22.42901	434.763157895	277.0
10317.000026105	15.78448	313.2	197.0
10317.000017099	25.85544	520.277777778	365.0
10317.000023392	22.23069	553.171428571	287.0
10317.000036416	21.45135	433.632653061	278.0
10317.000026126	24.56584	483.523809524	290.0
10317.000026143	13.62929	265.04	157.0
10317.000017118	25.01954	473.308823529	350.0
10317.000036933	17.72365	345.9	248.0
10317.000026142	23.94169	438.42	298.0
10317.000017097	25.36784	644.025641026	338.0
10317.000017105	16.32721	357.882352941	172.0
10317.000023378	22.32938	365.0	270.0
10317.000030779	30.23244	623.741935484	416.0
10317.000023379	17.96677	341.0	244.0
